fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0.3539823008849557,0.06849315068493145,0.36,0.0684931506849315,0.08681135225375627,0.7761194029850746,0.2508833922261484,0.43832599118943066,0.5748031496062994,0.32335329341317365,0.39999999999999997,7
0.21238938053097345,0.386986301369863,0.0,0.0684931506849315,0.14524207011686147,0.11940298507462688,0.05653710247349823,0.43979441997062807,0.47244094488188965,0.16167664670658682,0.19999999999999984,5
0.23008849557522126,0.273972602739726,0.06999999999999998,0.03424657534246574,0.10350584307178631,0.05970149253731341,0.04946996466431096,0.5308370044052846,0.4566929133858266,0.28742514970059885,0.18461538461538451,6
0.41592920353982304,0.16438356164383555,0.39,0.0410958904109589,0.11352253756260436,0.5970149253731343,0.17314487632508835,0.4735682819383239,0.5748031496062994,0.23952095808383234,0.3846153846153846,6
0.12389380530973454,0.26712328767123283,0.0,0.0821917808219178,0.08681135225375627,0.582089552238806,0.1696113074204947,0.36196769456681366,0.6299212598425198,0.35928143712574856,0.3538461538461537,6
0.23008849557522126,0.16438356164383555,0.4600000000000001,0.0821917808219178,0.10350584307178631,0.34328358208955223,0.13427561837455831,0.38693098384728414,0.5196850393700787,0.31137724550898205,0.39999999999999997,7
0.21238938053097345,0.3013698630136986,0.12999999999999998,0.047945205479452066,0.10851419031719534,0.35820895522388063,0.12720848056537104,0.45668135095448004,0.47244094488188965,0.155688622754491,0.12307692307692292,5
0.36283185840707954,0.34931506849315064,0.28,0.1232876712328767,0.14023372287145244,0.23880597014925375,0.22261484098939932,0.5337738619676958,0.4094488188976376,0.17964071856287425,0.27692307692307677,6
0.23008849557522126,0.41780821917808214,0.019999999999999962,0.1095890410958904,0.10684474123539232,0.22388059701492538,0.12720848056537104,0.5234948604992649,0.5511811023622047,0.11377245508982037,0.13846153846153852,5
0.19469026548672563,0.4726027397260274,0.04999999999999996,0.07534246575342465,0.09682804674457432,0.07462686567164178,0.02826855123674911,0.40748898678413786,0.6062992125984251,0.1976047904191617,0.3692307692307693,6
0.4690265486725663,0.10273972602739723,0.49,0.28082191780821913,0.1168614357262102,0.11940298507462688,0.038869257950530034,0.3502202643171771,0.35433070866141725,0.11377245508982037,0.6307692307692307,7
0.13274336283185836,0.3013698630136986,0.0,0.08904109589041097,0.11185308848080135,0.07462686567164178,0.01060070671378091,0.3472834067547741,0.6692913385826771,0.125748502994012,0.4769230769230769,6
0.3274336283185841,0.3287671232876712,0.25,0.08904109589041097,0.17696160267111855,0.11940298507462688,0.11307420494699646,0.447136563876656,0.3228346456692912,0.11976047904191618,0.21538461538461545,5
0.5132743362831859,0.09589041095890408,0.48,0.0684931506849315,0.09015025041736228,0.07462686567164178,0.014134275618374548,0.526431718061676,0.46456692913385833,0.32335329341317365,0.3846153846153846,6
0.2920353982300885,0.13698630136986298,0.51,0.06164383561643835,0.5492487479131887,0.23880597014925375,0.17667844522968199,0.5014684287812056,0.23622047244094485,0.4491017964071857,0.12307692307692292,6
0.3982300884955752,0.4486301369863014,0.22,0.08904109589041097,0.11185308848080135,0.16417910447761194,0.14840989399293286,0.5528634361233521,0.34645669291338593,0.10778443113772455,0.18461538461538451,5
0.41592920353982304,0.10273972602739723,0.41,0.07534246575342465,0.1318864774624374,0.07462686567164178,0.0353356890459364,0.5822320117474311,0.42519685039370064,0.22155688622754488,0.19999999999999984,5
0.6017699115044248,0.09589041095890408,0.44000000000000006,0.18493150684931506,0.09849749582637729,0.07462686567164178,0.04593639575971731,0.6262848751835579,0.2992125984251969,0.2934131736526946,0.13846153846153852,6
0.6194690265486724,0.28082191780821913,0.6600000000000001,0.18835616438356162,0.18196994991652754,0.07462686567164178,0.02826855123674911,0.5675477239353917,0.24409448818897617,0.24550898203592814,0.4769230769230769,7
0.3185840707964601,0.32191780821917804,0.0,0.1095890410958904,0.13522537562604342,0.26865671641791045,0.18374558303886926,0.7437591776798823,0.5984251968503937,0.19161676646706588,0.13846153846153852,6
0.21238938053097345,0.0753424657534246,0.4,0.047945205479452066,0.08514190317195328,0.29850746268656714,0.21554770318021205,0.3766519823788532,0.5984251968503937,0.17964071856287425,0.41538461538461524,5
0.37168141592920356,0.23972602739726023,0.49,0.136986301369863,0.12186978297161939,0.23880597014925375,0.3674911660777386,0.5969162995594707,0.4330708661417323,0.16167664670658682,0.21538461538461545,5
0.04424778761061943,0.31849315068493145,0.0,0.0547945205479452,0.05342237061769617,0.19402985074626866,0.2826855123674912,0.18869309838472598,0.6456692913385828,0.3652694610778443,0.6923076923076923,7
0.2566371681415929,0.17808219178082188,0.48,0.11643835616438356,0.10183639398998331,0.31343283582089554,0.2756183745583039,0.5234948604992649,0.4566929133858266,0.22155688622754488,0.18461538461538451,4
0.2654867256637168,0.452054794520548,0.0,0.0547945205479452,0.10684474123539232,0.47761194029850745,0.13780918727915195,0.4441997063142448,0.4488188976377953,0.17365269461077845,0.3538461538461537,6
0.575221238938053,0.1575342465753424,0.48,0.1506849315068493,0.1302170283806344,0.05970149253731341,0.053003533568904596,0.6262848751835579,0.33858267716535423,0.11976047904191618,0.32307692307692304,5
0.168141592920354,0.1506849315068493,0.27,0.13013698630136983,0.0918196994991653,0.1044776119402985,0.13427561837455831,0.2767988252569713,0.37007874015748027,0.13772455089820362,0.5538461538461538,6
0.7433628318584069,0.13698630136986298,0.6500000000000001,0.11643835616438356,0.13522537562604342,0.208955223880597,0.14487632508833923,0.6997063142437637,0.24409448818897617,0.16766467065868262,0.33846153846153837,5
0.3274336283185841,0.34589041095890405,0.2,0.0410958904109589,0.11352253756260436,0.3880597014925373,0.39929328621908133,0.5234948604992649,0.3307086614173229,0.4730538922155689,0.10769230769230759,4
0.2743362831858407,0.3732876712328767,0.0,0.10273972602739724,0.1302170283806344,0.1044776119402985,0.04593639575971731,0.5381791483113044,0.41732283464566927,0.23952095808383234,0.13846153846153852,5
